InputID,TargetID,Distance
POINT (-73.941514 40.830518),POINT (-73.938209 40.830135),282.004496435559
POINT (-73.9214 40.835537),POINT (-73.91844 40.833771),317.477807574338
POINT (-73.898583 40.889248),POINT (-73.90087 40.884667),544.017430795387
POINT (-73.979917 40.783934),POINT (-73.98197 40.778453),632.853637536253
POINT (-73.940858 40.679921),POINT (-73.950426 40.680438),810.918889718584
POINT (-73.862633 40.883895),POINT (-73.860341 40.888022),497.356002735364
POINT (-73.877223 40.737015),POINT (-73.882017 40.742454),727.169346804044
POINT (-73.996353 40.624842),POINT (-73.996895 40.626472),186.724895540157
POINT (-73.944216 40.824783),POINT (-73.944216 40.824783),0
POINT (-73.925508 40.76182),POINT (-73.921479 40.766779),647.294117675663
POINT (-73.973946 40.686113),POINT (-73.975375 40.687119),164.535478519175
POINT (-73.955929 40.5993),POINT (-73.955161 40.595246),454.850444101635
POINT (-73.85147 40.679843),POINT (-73.858992 40.679371),638.075911327504
POINT (-73.998091 40.660397),POINT (-73.992872 40.665414),710.746866292619
POINT (-73.913333 40.756312),POINT (-73.92074 40.756879),628.637500999226
POINT (-73.975375 40.687119),POINT (-73.973946 40.686113),164.535478519175
POINT (-73.990151 40.692404),POINT (-73.989998 40.693219),91.423385727189
POINT (-73.96411 40.807722),POINT (-73.966847 40.803967),476.678571595809
POINT (-73.860816 40.833226),POINT (-73.867618 40.831509),604.58946948895
POINT (-73.796924 40.590927),POINT (-73.788522 40.592374),729.173345079597
POINT (-73.903879 40.858407),POINT (-73.900741 40.856093),368.836031831651
POINT (-73.962246 40.661614),POINT (-73.961495 40.655292),704.908012991675
POINT (-73.837324 40.718331),POINT (-73.831008 40.714441),686.591627507516
POINT (-73.990414 40.620671),POINT (-73.985026 40.61741),582.23392735534
POINT (-73.940133 40.840556),POINT (-73.939561 40.840719),51.5252918182426
POINT (-73.936245 40.820421),POINT (-73.93647 40.82388),384.592267762293
POINT (-73.937969 40.851695),POINT (-73.939704 40.847391),499.854534394092
POINT (-73.915279 40.869444),POINT (-73.919899 40.868072),418.216158882239
POINT (-73.92227 40.68963),POINT (-73.916559 40.68637),603.41339401855
POINT (-73.924016 40.743781),POINT (-73.918435 40.743132),476.852185911955
POINT (-73.990862 40.686145),POINT (-73.990151 40.692404),697.642408891368
POINT (-73.930729 40.679364),POINT (-73.920786 40.678822),842.752369395713
POINT (-73.958424 40.768799),POINT (-73.959874 40.77362),549.187113107605
POINT (-73.993086 40.697466),POINT (-73.990531 40.699337),299.666219424215
POINT (-73.97641 40.775594),POINT (-73.982209 40.77344),544.871428924364
POINT (-73.88075 40.67413),POINT (-73.884639 40.679947),724.827659493703
POINT (-74.017881 40.641362),POINT (-74.014034 40.645069),524.734755068483
POINT (-73.832569 40.84681),POINT (-73.836322 40.843863),455.27314606972
POINT (-73.925651 40.827905),POINT (-73.925831 40.827994),18.1170277579499
POINT (-73.959874 40.77362),POINT (-73.958424 40.768799),549.187113107605
POINT (-73.961639 40.62927),POINT (-73.960803 40.625039),475.132959415868
POINT (-73.932755 40.752882),POINT (-73.928781 40.752039),348.413099621065
POINT (-74.136907 40.5564),POINT (-74.12632 40.56511),1318.87275904277
POINT (-73.828294 40.700492),POINT (-73.836345 40.697418),761.270834620737
POINT (-73.793604 40.71047),POINT (-73.783817 40.712646),861.589508115452
POINT (-73.976971 40.629755),POINT (-73.976127 40.625322),497.422346398953
POINT (-73.830834 40.8883),POINT (-73.838591 40.878663),1254.10232356525
POINT (-73.950234 40.700377),POINT (-73.947408 40.703869),455.428113771021
POINT (-73.996895 40.626472),POINT (-73.996353 40.624842),186.724895540157
POINT (-73.92261 40.664717),POINT (-73.916327 40.661453),643.164226264193
POINT (-73.880049 40.840295),POINT (-73.873488 40.841894),581.128516626265
POINT (-73.947478 40.7906),POINT (-73.94425 40.79502),561.3790391184
POINT (-73.761353 40.600066),POINT (-73.755405 40.603995),666.186161592402
POINT (-73.94067 40.711926),POINT (-73.93985 40.707739),470.094197896337
POINT (-74.200064 40.525507),POINT (-74.191794 40.533674),1146.07310341465
POINT (-73.889395 40.665449),POINT (-73.884079 40.666235),457.909469095108
POINT (-73.83003 40.7596),POINT (-73.845625 40.754622),1428.21510595787
POINT (-73.959245 40.670343),POINT (-73.958131 40.670682),101.435922127505
POINT (-73.897749 40.861296),POINT (-73.901034 40.862803),323.59545261449
POINT (-73.975098 40.680829),POINT (-73.97689 40.68446),430.733642894607
POINT (-73.912385 40.69943),POINT (-73.911586 40.699814),79.8651868043338
POINT (-73.982209 40.77344),POINT (-73.98197 40.778453),557.057047861725
POINT (-73.980305 40.666271),POINT (-73.979493 40.660365),659.4306056274
POINT (-73.914042 40.805368),POINT (-73.91924 40.807566),501.955224445646
POINT (-73.961454 40.796092),POINT (-73.964696 40.791642),564.86362286893
POINT (-73.830301 40.660476),POINT (-73.834058 40.668234),918.216704317035
POINT (-73.949575 40.650843),POINT (-73.948959 40.645098),640.089671201605
POINT (-73.891394 40.746848),POINT (-73.891338 40.746644),23.1424372878098
POINT (-73.898654 40.676992),POINT (-73.896548 40.674542),325.151634519374
POINT (-73.905249 40.682829),POINT (-73.904512 40.679498),375.110681112985
POINT (-73.98311 40.677316),POINT (-73.97881 40.683666),793.340835647102
POINT (-73.86001 40.692435),POINT (-73.867139 40.691324),615.084505720669
POINT (-73.966113 40.764629),POINT (-73.96387 40.768141),433.55396614016
POINT (-73.893064 40.824073),POINT (-73.890549 40.820948),406.751020119816
POINT (-73.899232 40.658733),POINT (-73.900571 40.664038),599.889667730127
POINT (-73.867352 40.865462),POINT (-73.867164 40.871356),654.72859853985
POINT (-73.973357 40.596063),POINT (-73.97823 40.592721),554.867732127133
POINT (-73.929849 40.813224),POINT (-73.926138 40.810476),437.224666150483
POINT (-73.998168 40.604556),POINT (-74.001736 40.607954),483.290862502319
POINT (-73.994304 40.640914),POINT (-73.994791 40.63626),518.451773940916
POINT (-73.979493 40.660365),POINT (-73.980305 40.666271),659.4306056274
POINT (-73.954449 40.731352),POINT (-73.951277 40.724635),792.588058353192
POINT (-73.961376 40.577621),POINT (-73.968501 40.576312),620.544424098007
POINT (-73.921479 40.766779),POINT (-73.917843 40.770258),493.455268558841
POINT (-73.884655 40.87975),POINT (-73.887138 40.873244),752.205602441479
POINT (-73.755405 40.603995),POINT (-73.761353 40.600066),666.186161592402
POINT (-73.828121 40.852462),POINT (-73.832569 40.84681),731.193736495223
POINT (-73.890549 40.820948),POINT (-73.893064 40.824073),406.751020119816
POINT (-74.084087 40.603117),POINT (-74.087368 40.596612),773.899407188258
POINT (-73.873785 40.683194),POINT (-73.880039 40.68141),564.597906017798
POINT (-73.832163 40.684331),POINT (-73.837683 40.681711),549.914326135028
POINT (-73.939704 40.847391),POINT (-73.937969 40.851695),499.854534394092
POINT (-73.909831 40.874561),POINT (-73.904834 40.878856),636.326423921156
POINT (-73.976218 40.788644),POINT (-73.979917 40.783934),609.143886969334
POINT (-73.860341 40.888022),POINT (-73.862633 40.883895),497.356002735364
POINT (-73.882017 40.742454),POINT (-73.883697 40.747659),595.170883247966
POINT (-73.944216 40.824783),POINT (-73.944216 40.824783),0
POINT (-73.961495 40.655292),POINT (-73.962982 40.650527),543.879953876731
POINT (-73.950466 40.669847),POINT (-73.950683 40.667883),218.86777462932
POINT (-73.869527 40.749145),POINT (-73.8627 40.749865),582.077566687233
POINT (-74.028398 40.622687),POINT (-74.030876 40.616622),705.382745592485
POINT (-73.917791 40.840075),POINT (-73.9134 40.839306),380.050087460704
POINT (-73.917757 40.816109),POINT (-73.91924 40.807566),956.918527971658
POINT (-73.918822 40.864621),POINT (-73.919899 40.868072),393.846979911374
POINT (-73.815925 40.608382),POINT (-73.813641 40.588034),2267.82243430473
POINT (-73.965838 40.683263),POINT (-73.966839 40.688089),542.556092587962
POINT (-73.920786 40.678822),POINT (-73.916559 40.68637),911.181682685493
POINT (-73.896403 40.746325),POINT (-73.898453 40.749669),409.72447835956
POINT (-73.983765 40.588841),POINT (-73.97823 40.592721),636.540860542467
POINT (-73.869229 40.733106),POINT (-73.861604 40.729846),738.889457924547
POINT (-74.251961 40.512764),POINT (-74.242096 40.516578),937.205988438834
POINT (-73.904512 40.679498),POINT (-73.905316 40.678334),146.041788043766
POINT (-73.911586 40.699814),POINT (-73.912385 40.69943),79.8651868043338
